task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	99/678d1d	29472	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958700)	FAILED	1	2025-09-17 11:00:30.542	30ms	1ms	-	-	-	-	-
7	e4/b1dca0	29471	assembly_amr_pangenome:FILTLONG (ERR8958700)	FAILED	1	2025-09-17 11:00:30.536	34ms	9ms	-	-	-	-	-
8	e7/6735be	29491	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958706)	FAILED	1	2025-09-17 11:00:30.576	24ms	1ms	-	-	-	-	-
5	a0/5d39e2	29493	assembly_amr_pangenome:FILTLONG (ERR8958706)	FAILED	1	2025-09-17 11:00:30.583	20ms	3ms	-	-	-	-	-
4	06/b512b9	29519	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958737)	FAILED	1	2025-09-17 11:00:30.619	21ms	2ms	-	-	-	-	-
6	4c/3fa69d	29521	assembly_amr_pangenome:FILTLONG (ERR8958717)	FAILED	1	2025-09-17 11:00:30.623	27ms	9ms	-	-	-	-	-
9	8d/e8b211	29563	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958717)	FAILED	1	2025-09-17 11:00:30.646	22ms	1ms	-	-	-	-	-
1	03/8abcef	29575	assembly_amr_pangenome:FILTLONG (ERR8958704)	FAILED	1	2025-09-17 11:00:30.657	20ms	8ms	-	-	-	-	-
2	fe/59c19f	29597	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958704)	FAILED	1	2025-09-17 11:00:30.672	21ms	16ms	-	-	-	-	-
3	3e/a05981	29608	assembly_amr_pangenome:FILTLONG (ERR8958737)	FAILED	1	2025-09-17 11:00:30.680	20ms	6ms	-	-	-	-	-
11	6b/27ba57	29643	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958700)	FAILED	1	2025-09-17 11:00:30.704	16ms	1ms	-	-	-	-	-
12	f1/e4ffe2	29638	assembly_amr_pangenome:FILTLONG (ERR8958700)	FAILED	1	2025-09-17 11:00:30.699	20ms	1ms	-	-	-	-	-
13	bc/888957	29672	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958706)	FAILED	1	2025-09-17 11:00:30.723	17ms	1ms	-	-	-	-	-
14	d9/13b877	29673	assembly_amr_pangenome:FILTLONG (ERR8958706)	FAILED	1	2025-09-17 11:00:30.725	17ms	2ms	-	-	-	-	-
15	43/23db43	29692	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958737)	FAILED	1	2025-09-17 11:00:30.743	19ms	2ms	-	-	-	-	-
16	03/43b1bc	29693	assembly_amr_pangenome:FILTLONG (ERR8958717)	FAILED	1	2025-09-17 11:00:30.747	17ms	2ms	-	-	-	-	-
18	e8/b6c7aa	29713	assembly_amr_pangenome:FILTLONG (ERR8958704)	FAILED	1	2025-09-17 11:00:30.767	17ms	1ms	-	-	-	-	-
17	77/b6023a	29712	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958717)	FAILED	1	2025-09-17 11:00:30.765	18ms	1ms	-	-	-	-	-
19	45/7c0e93	29732	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958704)	FAILED	1	2025-09-17 11:00:30.787	16ms	1ms	-	-	-	-	-
20	b9/c0f2b8	29733	assembly_amr_pangenome:FILTLONG (ERR8958737)	FAILED	1	2025-09-17 11:00:30.790	17ms	3ms	-	-	-	-	-
21	a1/d489a0	29754	assembly_amr_pangenome:FILTLONG (ERR8958700)	FAILED	1	2025-09-17 11:00:30.812	14ms	3ms	-	-	-	-	-
22	b3/dfdbc7	29752	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958700)	FAILED	1	2025-09-17 11:00:30.806	17ms	1ms	-	-	-	-	-
23	c2/cc5e56	29772	assembly_amr_pangenome:NANOPLOT_RAW (ERR8958706)	ABORTED	-	2025-09-17 11:00:30.826	-	-	-	-	-	-	-
24	83/7f388d	29773	assembly_amr_pangenome:FILTLONG (ERR8958706)	ABORTED	-	2025-09-17 11:00:30.828	-	-	-	-	-	-	-
